FID,PLANNINGUN,YEAR_0_PHA,YEAR_1_PHA,YEAR_2_PHA,YEAR_3_PHA,CURRENTLY_,PLANNINGPH,FULLREGION,PLANNING_1,PLANNING_2,LATESTREVI,REQUIREDRE,PLANNINGRU,ASSESSMENT,ASSESSME_1,NOI,DEIS,FEIS,ROD,REMARKS,STATES,REGION,OBJECTID,PLANNING_U,LATESTAPPR,LMPU_NAME,AREATYPE,LMPU_ID,GIS_ACRES,EFFECTIVED,EXPIRATION,HQ_LOCATIO,COMMENTS,YEAR_0_FY,YEAR_1_FY,YEAR_2_FY,YEAR_3_FY
0,Gifford Pinchot National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Expired,Pacific Northwest (06),http://www.fs.usda.gov/main/giffordpinchot/landmanagement/planning,Forest,1990,2005,1982 Rule, , , , , , , ,WA,06,41153,113, ,Gifford Pinchot National Forest,Land Management Planning Unit,f575d88b-f467-4487-9f5a-d6127ed4abee,1532151.500000000000000, , , , ,2018,2019,2020,2021
1,Targhee National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Expired,Intermountain (04),http://www.fs.usda.gov/main/ctnf/landmanagement/planning,Forest,1997,2012,1982 Rule, , , , , , , ,ID,04,41164,5, ,Targhee National Forest,Land Management Planning Unit,cfca0b9d-c988-4786-b44b-dc4f6eb34be4,1654893.722000000100000, , , , ,2018,2019,2020,2021
2,Sawtooth National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Intermountain (04),http://www.fs.usda.gov/main/sawtooth/landmanagement/planning,Forest,2003,2018,1982 Rule, , , , , , , ,ID,04,41165,20, ,Sawtooth National Forest,Land Management Planning Unit,9a0de5e3-e379-4b4d-b414-bc1dad48d967,1853089.549000000100000, , , , ,2018,2019,2020,2021
3,Curlew National Grassland,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Intermountain (04),http://www.fs.usda.gov/main/ctnf/landmanagement/planning,Grassland,2002,2017,1982 Rule, , , , , , , ,ID,04,41166,120, ,Curlew National Grassland,Land Management Planning Unit,f214ba2d-d095-499f-ad45-10a29ccf7cfb,74783.572000000000000, , , , ,2018,2019,2020,2021
4,Thunder Basin National Grassland,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Rocky Mountain (02),http://www.fs.usda.gov/main/mbr/landmanagement/planning,Grassland,2002,2017,1982 Rule, , , , , , , ,WY,02,41168,119, ,Thunder Basin National Grassland,Land Management Planning Unit,1e65ea87-f620-4e50-8625-154d2f8498b0,626249.207999999980000, , , , ,2018,2019,2020,2021
5,Mt. Baker-Snoqualmie National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Expired,Pacific Northwest (06),http://www.fs.usda.gov/main/mbs/landmanagement/planning,Forest,1990,2005,1982 Rule, , , , , , , ,WA,06,41197,114, ,Mt. Baker-Snoqualmie National Forest,Land Management Planning Unit,d8a540fd-0699-40a5-80fb-9158bdd544aa,2024909.909000000000000, , , , ,2018,2019,2020,2021
6,Okanogan National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Expired,Pacific Northwest (06),http://www.fs.usda.gov/main/okawen/landmanagement/planning,Forest,1989,2004,1982 Rule, , , , , , , ,WA,06,41202,128, ,Okanogan National Forest,Land Management Planning Unit,f3567ffb-b38b-4148-a0f8-571200cd0106,1538198.286000000100000, , , , ,2018,2019,2020,2021
7,Flathead National Forest,FEIS,Not in Revision,Not in Revision,Not in Revision,Yes,FEIS,Northern (01),http://www.fs.usda.gov/main/flathead/landmanagement/planning,Forest,1986,2001,2012 Rule,07/2013,04/2014,03/2015,05/2016,12/2017,04/2018, ,MT,01,41204,75,2017-11-21T00:00:00.000Z,Flathead National Forest,Land Management Planning Unit,8912058c-69ed-4acb-b467-5c66c0911a5c,2649743.487000000200000, , , , ,2018,2019,2020,2021
8,Olympic National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Expired,Pacific Northwest (06),http://www.fs.usda.gov/main/olympic/landmanagement/planning,Forest,1990,2005,1982 Rule, , , , , , , ,WA,06,41207,115, ,Olympic National Forest,Land Management Planning Unit,1de27e98-fb78-44c6-bd58-346c1c26dd51,695868.518999999970000, , , , ,2018,2019,2020,2021
9,Colville National Forest,FEIS,Not in Revision,Not in Revision,Not in Revision,Yes,FEIS,Pacific Northwest (06),http://www.fs.usda.gov/main/colville/landmanagement/planning,Forest,1988,2003,1982 Rule, , ,06/2011,02/2016,02/2018,07/2018,Will use Objections process,WA,06,41214,67,2018-05-31T00:00:00.000Z,Colville National Forest,Land Management Planning Unit,53ee89c0-7045-4b28-a53c-cefad4b8d6f1,1096032.449000000000000, , , , ,2018,2019,2020,2021
10,Lolo National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Expired,Northern (01),http://www.fs.usda.gov/main/lolo/landmanagement/planning,Forest,1986,2001,1982 Rule, , , , , , , ,MT,01,41224,87, ,Lolo National Forest,Land Management Planning Unit,13b19645-3bfe-4b4f-b928-ea961b748639,2605888.007999999900000, , , , ,2018,2019,2020,2021
11,Kootenai National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Northern (01),http://www.fs.usda.gov/main/kootenai/landmanagement/planning,Forest,2015,2030,1982 Rule, , , , , , , ,MT,01,41226,58,2016-01-20T00:00:00.000Z,Kootenai National Forest,Land Management Planning Unit,8a95b107-ecd1-45f8-8467-835a8d1c26cf,2141978.387000000100000, , , , ,2018,2019,2020,2021
12,Idaho Panhandle National Forests,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Northern (01),http://www.fs.usda.gov/main/ipnf/landmanagement/planning,Forest,2015,2030,1982 Rule, , , , , , , ,ID,01,41227,57,2016-01-20T00:00:00.000Z,Idaho Panhandle National Forests,Land Management Planning Unit,ccf55a23-0196-4ee6-89c9-847780b72257,3406632.449000000000000, , , , ,2018,2019,2020,2021
13,Bridger-Teton National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Expired,Intermountain (04),http://www.fs.usda.gov/main/btnf/landmanagement/planning,Forest,1990,2005,1982 Rule, , , , , , , ,WY,04,41230,96, ,Bridger-Teton National Forest,Land Management Planning Unit,665e6a7c-a318-4fda-bd92-a8b18772f446,3467367.413999999900000, , , , ,2018,2019,2020,2021
14,Payette National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Intermountain (04),http://www.fs.usda.gov/main/payette/landmanagement/planning,Forest,2003,2018,1982 Rule, , , , , , , ,ID,04,41231,19, ,Payette National Forest,Land Management Planning Unit,a6decc41-9fde-4c53-a61e-1c07578a9879,2418524.094000000000000, , , , ,2018,2019,2020,2021
15,Caribou National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Intermountain (04),http://www.fs.usda.gov/main/ctnf/landmanagement/planning,Forest,2003,2018,1982 Rule, , , , , , , ,ID,04,41234,15, ,Caribou National Forest,Land Management Planning Unit,8c48bf2b-9f71-4a20-a0fd-e57aa13d46d2,1084365.977999999900000, , , , ,2018,2019,2020,2021
16,Salmon-Challis National Forest,Assessment,NOI,FEIS,ROD,Yes,Assessment,Intermountain (04),http://www.fs.usda.gov/main/scnf/landmanagement/planning,Forest,1987,2002,2012 Rule,01/2017,06/2018,10/2018,06/2019,03/2020,12/2020, ,ID,04,41235,90,2018-05-31T00:00:00.000Z,Salmon-Challis National Forest,Land Management Planning Unit,40f861d5-1d5f-4b9b-a205-18da3e9861ef,4396012.821999999700000, , , , ,2018,2019,2020,2021
17,Boise National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Intermountain (04),http://www.fs.usda.gov/main/boise/landmanagement/planning,Forest,2003,2018,1982 Rule, , , , , , , ,ID,04,41238,18, ,Boise National Forest,Land Management Planning Unit,df4ade87-9a95-4c62-9b27-89b675f030d9,2612050.699000000000000, , , , ,2018,2019,2020,2021
18,Bighorn National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Rocky Mountain (02),http://www.fs.usda.gov/main/bighorn/landmanagement/planning,Forest,2005,2020,1982 Rule, , , , , , , ,WY,02,41264,31, ,Bighorn National Forest,Land Management Planning Unit,b9a46e96-866f-4fc1-97cf-7840e90c2e7b,1112646.745000000100000, , , , ,2018,2019,2020,2021
19,Shoshone National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Rocky Mountain (02),http://www.fs.usda.gov/main/shoshone/landmanagement/planning,Forest,2015,2030,1982 Rule, , , , , , ,Used Objections process,WY,02,41265,59,2016-01-21T00:00:00.000Z,Shoshone National Forest,Land Management Planning Unit,92e87bef-1b04-4fb5-bc55-131d061d65c1,2468820.677999999800000, , , , ,2018,2019,2020,2021
20,Medicine Bow National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Rocky Mountain (02),http://www.fs.usda.gov/main/mbr/landmanagement/planning,Forest,2004,2019,1982 Rule, , , , , , , ,WY,02,41266,21, ,Medicine Bow National Forest,Land Management Planning Unit,e6504642-26f4-4666-94d6-062acf2b2216,1388358.645999999900000, , , , ,2018,2019,2020,2021
21,Wenatchee National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Expired,Pacific Northwest (06),http://www.fs.usda.gov/main/okawen/landmanagement/planning,Forest,1990,2005,1982 Rule, , , , , , , ,WA,06,41277,129, ,Wenatchee National Forest,Land Management Planning Unit,1d026810-6166-4445-9bf9-a4863ce0dbc3,1963155.289000000100000, , , , ,2018,2019,2020,2021
22,Nez Perce National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Northern (01),http://www.fs.usda.gov/main/nezperceclearwater/landmanagement/planning,Forest,1987,2002,1982 Rule, , , , , , , ,ID,01,41283,73, ,Nez Perce National Forest,Land Management Planning Unit,9c3c1f2a-6115-4ebb-8283-fd6fabf78699,2251767.600999999800000, , , , ,2018,2019,2020,2021
23,Clearwater National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Northern (01),http://www.fs.usda.gov/main/nezperceclearwater/landmanagement/planning,Forest,1987,2002,1982 Rule, , , , , , , ,ID,01,41285,74, ,Clearwater National Forest,Land Management Planning Unit,77098188-69aa-4585-8e98-1fb0f255bf52,1723274.186999999900000, , , , ,2018,2019,2020,2021
24,Helena-Lewis & Clark National Forests,DEIS,FEIS,Not in Revision,Not in Revision,Yes,DEIS,Northern (01),http://www.fs.usda.gov/detailfull/helena/home/?cid=stelprd3798801&width=full,Forest,1986,2001,2012 Rule,05/2014,03/2015,11/2016,06/2018,01/2019,07/2019, ,MT,01,41286,132,2018-06-14T00:00:00.000Z,Helena-Lewis & Clark National Forests,Land Management Planning Unit,4aa35170-20f9-4d1a-9989-cf5aed31e236,3176023.773000000000000, , , , ,2018,2019,2020,2021
25,Nez Perce-Clearwater National Forest,DEIS,FEIS,FEIS,Not in Revision,Yes,DEIS,Northern (01),http://www.fs.usda.gov/detail/nezperceclearwater/landmanagement/planning/?cid=stelprdb5447338,Forest,1987,2002,2012 Rule,08/2012,06/2014,07/2014,11/2018,01/2019,05/2020, ,ID,01,41287,127,2017-11-28T00:00:00.000Z,Nez Perce-Clearwater National Forest,Land Management Planning Unit,f0aaaf43-8c63-4bc2-9ce8-e16129e24a56,4072798.538000000200000, , , , ,2018,2019,2020,2021
26,Beaverhead-Deerlodge National Forest,Not in Revision,Not in Revision,Not in Revision,Not in Revision,No,Current,Northern (01),http://www.fs.usda.gov/main/bdnf/landmanagement/planning,Forest,2009,2024,1982 Rule, , , , , , , ,MT,01,41288,51, ,Beaverhead-Deerlodge National Forest,Land Management Planning Unit,01d94d1d-8625-451d-81df-c63e408ba654,3613889.319999999800000, , , , ,2018,2019,2020,2021